Has_QSpecs,Weight,InspectionDate
FALSE,0.5,3/21/2012
FALSE,0.06,4/1/2012
FALSE,0.11,1/16/2012
FALSE,0.5,6/18/2012
FALSE,8,9/16/2012
FALSE,1.56,2/1/2012
FALSE,75,9/21/2012
FALSE,0.5,5/28/2012
FALSE,0.1,1/27/2012
FALSE,0.01,6/3/2012
FALSE,0.2,2/9/2012
FALSE,0,8/14/2012
FALSE,0.1,4/2/2012
FALSE,5.7,10/20/2012
FALSE,0.89,6/12/2012
FALSE,0.22,3/9/2012
FALSE,0.11,8/7/2012
FALSE,29,12/16/2012
FALSE,0.1,11/10/2012
FALSE,3.8,10/4/2012
FALSE,2,2/28/2012
FALSE,0.26,5/12/2012
FALSE,0,9/14/2012
FALSE,1,2/19/2012
FALSE,0.4,7/11/2012
FALSE,3.3,8/25/2012
FALSE,3.05,11/18/2012
FALSE,0.21,3/3/2012
FALSE,2.3,2/12/2012
FALSE,0.1,5/16/2012
FALSE,2.25,2/19/2012
FALSE,28,11/2/2012
TRUE,0.01,6/12/2012
FALSE,216,6/26/2012
FALSE,0.5,11/3/2012
FALSE,28,11/4/2012
TRUE,0.3,7/9/2012
FALSE,0.5,6/7/2012
FALSE,0.89,10/19/2012
FALSE,0.2,3/11/2012
FALSE,0.1,8/11/2012
FALSE,0.9,4/24/2012
FALSE,0.96,2/23/2012
FALSE,1,12/6/2012
FALSE,0.56,12/10/2012
FALSE,2.4,1/8/2012
FALSE,0.02,1/19/2012
FALSE,0.22,10/27/2012
FALSE,0.2,7/17/2012
FALSE,0.19,12/3/2012
FALSE,0.11,10/8/2012
FALSE,0.22,8/8/2012
FALSE,0.3,1/6/2012
FALSE,0.01,5/21/2012
FALSE,0.1,9/15/2012
FALSE,0.01,9/6/2012
FALSE,270,11/8/2012
FALSE,20,11/14/2012
FALSE,0.5,6/6/2012
FALSE,30,10/3/2012
FALSE,20.1,11/28/2012
FALSE,2.79,5/3/2012
TRUE,0.16,8/16/2012
FALSE,0.19,1/5/2012
FALSE,1.43,10/17/2012
FALSE,1.1,8/11/2012
FALSE,0,8/17/2012
FALSE,0.1,12/17/2012
FALSE,1.5,12/17/2012
FALSE,0.01,2/6/2012
FALSE,1,7/26/2012
FALSE,0.86,9/23/2012
FALSE,0.01,3/3/2012
FALSE,0.1,8/14/2012
FALSE,0.04,8/12/2012
FALSE,2,7/2/2012
TRUE,5,10/19/2012
FALSE,2.3,5/2/2012
FALSE,0.2,6/3/2012
FALSE,485,8/12/2012
FALSE,2.39,6/12/2012
FALSE,0.03,2/4/2012
FALSE,0.22,10/25/2012
FALSE,15.7,9/26/2012
FALSE,0.1,2/13/2012
FALSE,0.2,6/20/2012
FALSE,2.4,2/13/2012
FALSE,0.22,9/23/2012
FALSE,13.01,12/19/2012
FALSE,6,3/11/2012
FALSE,2.07,3/2/2012
FALSE,0.1,7/14/2012
FALSE,0.5,7/9/2012
FALSE,0.01,6/28/2012
FALSE,0.1,6/15/2012
FALSE,14,12/26/2012
FALSE,0.47,9/5/2012
FALSE,0,5/20/2012
FALSE,0.2,9/24/2012
FALSE,0.2,11/9/2012
TRUE,0.6,4/7/2012
FALSE,0.05,9/4/2012
FALSE,0.1,10/2/2012
FALSE,0.42,6/25/2012
FALSE,0.54,2/9/2012
FALSE,0,4/24/2012
FALSE,0.5,4/23/2012
FALSE,0.23,5/19/2012
FALSE,0.6,3/15/2012
FALSE,0.01,4/17/2012
FALSE,1,6/25/2012
FALSE,0.1,7/12/2012
FALSE,1.2,7/5/2012
FALSE,0.22,10/5/2012
FALSE,1365,4/24/2012
TRUE,680,3/11/2012
FALSE,0.4,8/16/2012
FALSE,1.4,4/20/2012
FALSE,20,6/28/2012
FALSE,0.1,8/6/2012
FALSE,0.03,11/8/2012
FALSE,0.22,7/14/2012
FALSE,4.7,4/5/2012
FALSE,0.01,3/24/2012
FALSE,0.22,2/3/2012
FALSE,1.3,2/3/2012
FALSE,5.2,1/22/2012
